type,lat,lon
university,43.253721299999995,76.93598699999998
university,43.2433317,76.95561230000001
university,43.24549199999999,76.92935019999999
university,43.22282679999999,76.91921209999998
university,43.225242099999996,76.9217194
university,43.2200252,76.92309229999998
university,43.2298345,76.8957643
university,43.2499767,76.8595485
university,43.24217039999999,76.9494581
university,43.24639619999999,76.95307079999999
university,43.2454535,76.95402029999998
university,43.2453429,76.9524084
university,43.246294199999994,76.95389489999998
university,43.2461815,76.9522958
university,43.2643165,76.9595175
university,43.2355622,76.9075405
university,43.2515442,76.9345871
university,43.24103219999999,76.95753689999998
university,43.2405383,76.95761309999999
university,43.255679164776176,76.94313894945236
university,43.21230276540013,76.91780336178664
university,43.2033729852294,76.87327387611988
university,43.25054826336353,76.92803728463856
university,43.21502841914547,76.87134366644906
university,43.20527346109921,76.8711036998954
university,43.2541793867991,76.92321833796042
university,43.253749698392234,76.92308897801514
university,43.338495271653514,76.97673888383648
university,43.240724349070284,76.95205259351124
university,43.23505793215813,76.93152022555822
university,43.237262086965785,76.94036803094187
university,43.237222020269655,76.93995487017243
university,43.24060036580082,76.93614844210721
university,43.24171134394007,76.95531593170533
university,43.221421360399226,76.92289623524044
university,43.252989600077875,76.93115326842904
university,43.20633945361751,76.89295049314259
university,43.253645693666115,76.9087534596342
university,43.3553814711674,77.00534034361517
university,43.252304070177054,76.88162256264744
university,43.243724492062235,76.92076049970225
university,43.23648185887111,76.93066347720787
university,43.25636555320544,76.95328898821153
university,43.232367845395366,76.93433262771013
university,43.22143129346258,76.84004051966701
university,43.34866739807619,77.15127634305736
university,43.35261399469949,77.14370215375774
university,43.241185603145425,76.9396984100519
university,43.38511606277314,76.99284645360608
mall,43.2191296,76.83899779999999
mall,43.2127087,76.92181830000001
mall,43.24989000000001,76.91997100000002
mall,43.2521793,76.9221094
mall,43.23981979999999,76.82418729999999
mall,43.2236329,76.89501639999999
mall,43.240353199999994,76.89500029999999
mall,43.2274694,76.93347129999998
mall,43.22883159999999,76.9549665
mall,43.2522633,76.9502994
mall,43.1987839,76.8798217
mall,43.1777843,76.849137
mall,43.278707399999995,76.8883089
mall,43.2616564,76.95487399999999
mall,43.238228,76.9454564
mall,43.2323047,76.94849479999999
mall,43.21230430232151,76.8421163715004
mall,43.23344291240084,76.95675065649263
mall,43.23307903059528,76.95106400135
mall,43.265036333917564,76.95570104784336
mall,43.26247552420034,76.94684955913286
mall,43.26217450751537,76.9476982268878
mall,43.31967340523943,76.91537658785968
mall,43.26449500714639,76.89977079413077
mall,43.252120983259715,76.8993494506589
mall,43.267169270058886,76.94788547916654
mall,43.26202942866523,76.93780137823896
mall,43.26798222966384,76.93381223293134
mall,43.25472719255887,76.9369942465241
mall,43.23049590016599,76.89717505001695
mall,43.22497348244254,76.90886737372554
mall,43.225866500306644,76.84037245015485
mall,43.33586954433088,76.95348503603033
mall,43.27545564459156,76.94741608306002
mall,43.262286405740646,76.94140065746386
mall,43.244392005943844,76.8358272066369
mall,43.272794889338236,76.93834268316994
mall,43.25335075782544,76.83865421291615
mall,43.198529691927156,76.88022066689616
mall,43.24164482398784,76.81770317459369
mall,43.22784632769249,76.9590762500889
mall,43.20173022996916,76.89211954157477
mall,43.27196332741172,76.94803374419523
mall,43.2730915968862,76.94781483184097
mall,43.271197292434,76.94938477434651
mall,43.27204529333864,76.95004167689945
mall,43.23281469807852,76.87906655149877
mall,43.212622780853245,76.85631769912308
mall,43.34135655022624,77.0072758837399
mall,43.264027653011354,76.92929713110873
mall,43.33672719437425,76.94610104493204
mall,43.207746511860506,76.85856781268534
